"userName","score","text","date"
"和湯",5,"とても面白かった。すべてのアチーブメントをクリアできたが、それでロックされている最後のキャラクターが開放されるわけではないみたいで、もうやることがなくなってしまった。 キャラクターと相性の良い武器を選んでそれに合わせた成長をする。どれを選んでもやることは同じなので、アチーブメントをすべてクリアしたあとは繰り返しプレイする気にはなれないのが少し残念。それとゲームの終盤はほとんど惰性になり、緊張感に欠けるので何か工夫が欲しい。勝ちが確定してるラスト数分が少し退屈。 でも、十分楽しめたし満足です。","2022-11-12T13:26:08.949Z"
"kana S.",5,"めちゃくちゃハマります。この手のゲームでよく、指の位置とキャラクターの進行方向が被ってしまい視認性が非常に悪くなるストレスがあったのですが、このゲームはそれを回避できています。操作性が良く、いくら遊んでもストレスがありません。ただ、開始時に説明が全くないため、基本操作くらいはチュートリアルをしてほしいと思いました。画面の左半分をタップすると移動、右半分をタップすると攻撃です。","2022-12-29T13:12:43.866Z"
"僚高野",5,"最高です！時間潰しにはもってこいですね。 充電つぶしでもありますが笑 たまに広告が見れなくて最初のスキルが取れなかったり、同じ理由で復活できなかったりしたのと、2回目の中ボス以降ボスが死ななくなった不具合がありました(ver. 3.1.b693)","2023-10-13T22:42:46.601Z"
"夜カラス",5,"数あるサバイバー亜種の中でも本家を越えた名作。本家と違い攻撃は任意に行い、攻撃時はスピードが落ちるので、戦況を見て攻撃と逃げの判断が求められ、本家よりも繊細な立ち回りが必要。自機が美少女ばかりなのも高ポイント。欲を言えば、敵の種類がもう少し欲しいところ。","2023-02-12T14:31:38.669Z"
"Pepsi Drunker",5,"何度でもコンティニューできてクリア出来る。強化すべき効果は何が良いのか、何度かやっているうちに分かる。基本的には適度な難易度のゲーム。","2023-07-26T12:48:54.943Z"
"CO NAJI",5,"スキルの数に制限がないのでこの系統のゲームにありがちな運用素がなくなっている。スキル数を気にしなくても遊べるのでシンプル楽しい。 これ系統のゲーム好きな人に超オススメ。日本語も自然なので大助かり！","2022-11-28T15:24:08.867Z"
"野原祐",5,"楽しいw ヴァンパイアサバイバーやったことないけど、ある意味超えてるかも。 スコアとスキル解放、難易度のバランスなどもいい。 広告出るけどゲーム内でコンテニュー出来るなど、有利な効果と引き換えだからから見ちゃう。 無料ここまで遊べるのはすごい。","2022-12-03T12:33:34.981Z"
"川村",5,"キャラ選択画面の絵やゲーム中のドット絵がとてもきれいで完成度が高い！あと気持ちい！","2023-12-15T08:20:00.720Z"
"Kei Maruyama",5,"いわゆるvampire survivors系。面白いが、スマホの操作性ではあまり楽しめないような？コントローラーがあるとかなり楽しめる。雰囲気は◎","2022-12-01T05:39:56.946Z"
"缶コーヒー",5,"playpassからのプレイだとショップのアイテムが買っても反映されません。　 追記. 本日アップデートで反映されるようになりました！最高です！","2023-06-06T11:48:18.410Z"
"結城里音（Yuuki Rinon）",5,"無料版の公開に感謝。 有名実況者からこのゲームを知り、 あった！無料版だ。 と早々にインストール。 楽しませてもらっています。","2022-12-20T09:52:51.484Z"
"藤原麻衣子",5,"最初は装備も弱くて負けてばかりだったけど、その負けていくうちにどんどん学習してどんどん経験値が上がって最高のゲームです","2023-11-03T14:11:21.812Z"
"ギュピャ太郎",5,"これクッソ面白い ゲームをしっかり、理解できるとやり込める でもアチーブメント開放の数が少ないかな もっと増やして縛りプレイさせてくれ 甘えれるビルドで甘え続けてヌルゲになる まぁ色々増えるだろうから　ヨシ！","2022-11-10T04:02:10.179Z"
"3 5",5,"めっちゃ爽快です。 昼間にやると敵が見づらいのが難点...!","2023-04-21T16:25:06.713Z"
"ライヴ",5,"時間の進み遅くない？？とは思うけどそれ以外は大満足。","2022-12-11T09:21:30.226Z"
"ヴォルテールくろすけ",5,"体験版？キャラクターと、エンドレスモードが無いのでこっちは多分そうかな","2022-12-03T16:09:01.600Z"
"中西亮介",5,"STEAMにてプレイ済み 思ってたより最近のアプデまで実装済み 操作感は好み次第だが、コレはコレで","2022-11-20T07:25:50.321Z"
"Michiyuki Sunagawa",5,"森クリアしたら次のマップ出来る用にしてください。楽しい","2023-04-02T01:19:46.990Z"
"登録者一人につき体毛が一本増えます。",5,"無料と有料の違いを教えてほしいです！ 有料版を購入したいけど何が違うのか分からなくて少し悩んでいます！","2022-12-19T12:14:01.463Z"
"revin0222",5,"非常に面白いです。 有料版に引き継がせて欲しい。","2022-11-28T15:10:26.484Z"
"内田健太",5,"丁度良い難易度設定で楽しめる。","2024-02-09T06:05:29.289Z"
"珍獣村獣",5,"ずっとやり続けてしまう魅力がある","2023-09-09T03:20:37.106Z"
"さつ",5,"神ゲーよ 有料版と内容変わらないらしいしタダでやれて最高","2022-11-15T10:56:31.675Z"
"はかせだよ",5,"よいゲーム。後半の手に汗握る感がすごい","2022-11-25T07:43:25.308Z"
"空転G",5,"久し振りに面白いローグライクゲームが出来ました!","2024-01-13T17:32:44.424Z"
"武田徳広",5,"楽しい。小さいスマホだと操作ムズイ","2023-04-18T06:20:41.682Z"
"コウテイペンギン",5,"無料でこのレベルは満足。","2024-01-16T09:14:03.240Z"
"午後ノ微睡",5,"程よい難しさがクセになる","2022-11-24T04:29:08.586Z"
"牛水直人",5,"レトロ感ゲームバランス共にいい気がする。","2022-12-18T02:06:50.803Z"
"カイン01",5,"これ系統のゲームの中だとダントツで楽しい","2023-04-08T07:52:20.209Z"
"satoru anraku",5,"とても爽快感があり楽しいです！。","2022-12-03T15:25:31.743Z"
"ちょめキウイ",5,"強さがちょうど良くておもろい","2022-12-11T00:27:27.289Z"
"合田健竜",5,"とても面白く時間が溶ける","2023-06-29T10:41:33.894Z"
"藤川“えた”瑛太",5,"とてもクオリティーが高く、面白い 世界観も最高","2023-09-08T08:19:32.429Z"
"G Enzo",5,"世界観も好きですし、操作性も悪くないです。","2023-03-09T00:50:32.130Z"
"KOMO",5,"ヴァンサバ系の中では結構好き、だけどちょっと歯応えが無いかも","2022-11-08T12:09:19.635Z"
