"userName","score","text","date"
"Pokemon Player (Magic)",5,"I love this game! it reminds me of Vampire Survivors! I love the abilities, game play, the game loop, the guns, everything! I love the unique enemies that change up the game. Enemies that force you to move. I just love the game. and the Ads omg the ads are perfectly placed. you can watch them to benefit you4 gameplay or not. You aren't forced to watch ads and I think that is perfect. 10/10 I love this game!","2024-01-15T17:35:47.163Z"
"ayden",5,"amazing game, it poses a good challenge and can take sometime to get used too but for those who are willing to practice it's really fun but there are a few bugs like how some of the upgrades only do a fraction of what they say they do and you can't get anything that involves watching an ad but if those get fixed then this is pretty much a perfect game, i highly reccomend playing this game","2024-01-24T04:46:44.974Z"
"teyhey pointless hyper",5,"so its a bullet hell but youre the one causing hell at the start its pretty difficult but the build up as you collect more upgrades and slowly get stronger until eventually your screen is absolutely covered in bullets and the enemies just dissappear its so cool and the different weapons and characters pretty cool it would be cooler if the guns had their own specific upgrades would've made it perfect but the characters having their own upgrades make up for it.","2023-09-26T18:58:59.485Z"
"sandy",5,"its so cool. a format thats very popular but finally realized to its full potential. best stylized pixed game ever","2024-07-14T05:55:40.502Z"
"William Irons",5,"amazing game. Loved it, but it does force a lot of ads at you sometimes","2024-07-31T06:52:36.781Z"
"Sapphire",5,"This is one of the only games I have found that is not only a simple rpg game but also has beautiful style. The way the art of the game and the gaming interacts, is a master piece. It's not too hard, not too easy. This game was a miracle in disguise. Definitely recommend for anyone interested in a rpg game but doesn't want to go hardcore shout out.","2022-12-23T09:46:34.340Z"
"Andrew Ramos",5,"Great game. It's fun and I like the upgrades that help you survive.","2024-07-07T06:18:12.586Z"
"unharmed high7",5,"I love survival games so this is perfect it's definitely one of the best I've played","2024-07-04T06:54:02.651Z"
"Joel Encarnacion",5,"super fun great way to pass the time ads aren't overbearing also","2024-07-24T20:00:13.573Z"
"Quentin Buck",5,"its the best !! good for long road trips or when I'm bored.","2024-08-05T13:14:10.701Z"
"SHOCK WORLD DESTROYER",5,"this game is just too good it's hard but good(or I just have a skill issue) although there should be more content maybe cosmetics too I really only have one gameplay issue the eyes that shoot at me, make their shots a different color pls,I always get hit by it thinking it's my shot, you could also change the weapon and shot color so everything looks more diverse yknow . aside from that the game is amazing just don't leave it in the dust💀","2022-11-07T02:04:19.216Z"
"Carson Matthews",5,"This is an absolutely amazing game. Perfect for any short break and can never take up more than 20 minutes (until they add an endless mode). I recommend this to anyone who is a fan of 'Vampire Survivors' as I'm mostly certain that was the main inspiration. I even ended up downloading this on my tablet as well so that I can play it when my phone dies. ⭐⭐⭐⭐⭐ although my opinion may not matter much, Beautiful work devs 👌","2022-11-25T03:42:08.798Z"
"Alamin Assad",5,"Honestly walked into this one with mid expectations. As far as performance the games runs flawlessly and has native controller support. 👌 Playwise, game starts slow and with some effort at learning the buffs and synergies and what each character can do you quickly become a boss unto yourself. My only gripe is that 20 minutes is too short so far. Currently pushing up the difficulty every session and greatly enjoying it. protip: unlock with with Google pass to get unlimited credits","2024-03-02T07:03:20.150Z"
